index_date,item_id,item_desc,index_algorithm,stratum_ind,item_index,all_gm_index,gm_ra_index,coicop_weight,item_weight,cpih_coicop_weight
200610,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,109.422,111.161,109.422,0.45,0.52,0.36
200610,210106,SIX BREAD ROLLS-WHITE/BROWN   ,1,1,97.59,96.239,97.59,0.6,0.76,0.48
200610,210108,PITTA BREAD                   ,1,1,96.459,96.202,96.459,0.6,0.64,0.48
200610,210111,WHITE SLICED LOAF BRANDED 750G,1,1,109.057,108.727,109.057,1.05,1.28,0.84
200610,210113,WHOLEMEAL SLICED LOAF BRANDED ,1,1,106.874,106.784,106.874,0.6,0.8,0.48
200610,210201,FLOUR-SELF-RAISING-1.5KG      ,1,1,103.472,103.745,103.472,0.15,0.12,0.12
200610,210204,DRY SPAGHETTI OR PASTA 500G   ,1,1,96.835,97.719,96.835,0.15,0.27,0.12
200610,210211,CORN SNACK SINGLE PACKET      ,1,1,105.598,105.609,105.598,0.9,0.42,0.72
200610,210212,BASMATI RICE 500G-1KG         ,1,1,100.697,100.218,100.697,0.45,0.36,0.36
200610,210213,BREAKFAST CEREAL 1            ,1,1,94.36,94.206,94.36,1.5,0.69,1.2
200610,210214,BREAKFAST CEREAL 2            ,1,1,98.336,99.849,98.336,2.4,1.14,1.92
200610,210301,CREAM CRACKERS PACK 200G-300G ,1,1,100.87,100.203,100.87,0.3,0.42,0.24
200610,210302,PLAIN BISCUITS-200-300G       ,1,1,101.531,101.261,101.531,1.2,1.44,0.96
200610,210317,FRUIT PIES 4-6 PACK           ,1,1,99.861,99.589,99.861,0.75,0.96,0.6
200610,210319,DOUGHNUT-EACH                 ,1,1,103.754,105.175,103.754,0.45,0.54,0.36
200610,210320,WHOLE SPONGE CAKE NOT FROZEN  ,1,1,102.681,101.321,102.681,0.75,0.84,0.6
200610,210321,PACK OF 5-6 INDIVIDUAL CAKES  ,1,1,101.287,101.024,101.287,0.6,0.66,0.48
200610,210322,CHOCOLATE 11                  ,1,1,105.794,105.647,105.794,0.6,1.14,0.48
200610,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,109.513,110.52,109.513,0.63,0.88,0.51
200610,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,112.358,112.556,112.358,0.84,1.32,0.68
200610,210413,HOME KILLED BEEF-TOPSIDE KG   ,1,1,105.637,105.553,105.637,0.63,0.88,0.51
200610,210414,FROZEN BEEFBURGERS PACK OF 4  ,1,1,95.606,95.972,95.606,0.42,0.44,0.34
200610,210415,H-KILLED BEEF BRAISING STEAK  ,1,1,104.561,104.331,104.561,0.42,0.48,0.34
200610,210501,HOME KILLED LAMB-LOIN CHOPS KG,1,1,107.361,107.185,107.361,0.42,0.48,0.34
200610,210502,HOME KILLED LAMB-SHOULDER KG  ,1,1,101.639,101.19,101.639,0.42,0.52,0.34
200610,210604,IMP LAMB LOIN CHOP-BONE PER KG,1,1,111.262,111.198,111.262,0.21,0.48,0.17
200610,210606,FRZEN IMP LAMB: LEG (PER KG)  ,1,1,98.443,98.243,98.443,0.42,0.52,0.34
200610,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,101.651,101.978,101.651,0.63,0.55,0.51
200610,210706,H-KILL PORK-BONELESS SHOULDER ,1,1,99.618,99.898,99.618,0.63,0.45,0.51
200610,210802,BACON-GAMMON-PER KG           ,1,1,103.042,102.489,103.042,0.84,0.5,0.68
200610,210808,BACON-BACK-PER KG             ,1,1,106.392,107.183,106.392,2.52,1.5,2.04
200610,210905,FRESH/CHILLED CHICKEN  PER KG ,1,1,92.336,91.987,92.336,0.42,0.84,0.34
200610,210910,FRESH BONELESS CHICKEN BREAST ,1,1,102.371,101.908,102.371,1.26,2.04,1.02
200610,210911,FRESH TURKEY STEAKS PER KG    ,1,1,104.92,105.561,104.92,0.42,0.64,0.34
200610,210912,FROZEN CHICKEN BREASTS        ,1,1,100.329,100.384,100.329,0.21,0.48,0.17
200610,211007,CANNED MEAT-STEWED STEAK      ,1,1,94.581,93.993,94.581,0.63,0.35,0.51
200610,211010,PORK PIE INDIVIDL APP 3IN/8CM ,1,1,100.896,101.081,100.896,1.05,0.56,0.85
200610,211011,INDIVIDUAL MEAT PIE           ,1,1,98.974,99.488,98.974,1.26,0.7,1.02
200610,211014,SAUSAGES-PORK-PER KG          ,1,1,102.867,103.629,102.867,1.68,0.98,1.36
200610,211016,COOKED HAM LOOSE SPECIFY TYPE ,1,1,106.9,106.496,106.9,1.26,0.7,1.02
200610,211018,COOKED MEAT - SLICED TURKEY   ,1,1,101.84,101.778,101.84,0.63,0.98,0.51
200610,211019,FROZ CHICKEN NUGGETS 220-600G ,1,1,99.231,98.794,99.231,0.42,0.7,0.34
200610,211020,COOKED HAM PREPACKED SLICED   ,1,1,103.521,102.602,103.521,2.31,1.33,1.87
200610,211021,CHICKEN KIEV 2 PACK 250-300G  ,1,1,98.584,98.47,98.584,0.42,0.7,0.34
200610,211101,FRESH WHITE FISH FILLETS KG   ,1,1,110.328,111.25,110.328,1.6,0.9,1.2
200610,211105,FRESH FISH-SALMON FILLETS-KG  ,1,1,118.387,120.678,118.387,0.84,0.48,0.63
200610,211106,FROZEN PRAWNS PER KG          ,1,1,106.616,107.325,106.616,0.36,0.62,0.27
200610,211207,"CANNED FISH, TUNA, 130G-200G  ",1,1,99.063,98.847,99.063,0.48,0.82,0.36
200610,211210,FROZEN FISH FINGERS 8-12 PK   ,1,1,103.766,108.315,103.766,0.72,1.18,0.54
200610,211301,BUTTER-HOME PRODUCED-250G     ,1,1,100.215,100.147,100.215,0.16,0.29,0.08
200610,211304,BUTTER-IMPORTED 250G          ,1,1,101.637,101.581,101.637,0.36,0.71,0.18
200610,211404,COOKING OIL -VEGETABLE 1 LITRE,1,1,115.648,119.57,115.648,0.52,0.35,0.26
200610,211407,MARGARINE/LOW FAT SPREAD-500G ,1,1,108.9,110.365,108.9,0.96,0.65,0.48
200610,211501,CHEDDAR-HOME PRODUCED PER KG  ,1,1,98.706,98.61,98.706,1.17,1.08,0.9
200610,211502,CHEDDAR-IMPORTED-PER KG       ,1,1,99.037,98.649,99.037,0.52,0.45,0.4
200610,211504,BRIE PER KG                   ,1,1,98.272,97.63,98.272,0.26,0.18,0.2
200610,211506,"CHEESE SPREAD, 125g-200g TUB  ",1,1,100.323,99.833,100.323,0.65,0.63,0.5
200610,211507,EDAM PER KG                   ,1,1,102.646,102.664,102.646,0.39,0.3,0.3
200610,211509,HARD REGIONAL CHEESE PER KG   ,1,1,97.999,97.741,97.999,0.39,0.36,0.3
200610,211601,EGGS-LARGE-PER DOZ OR 2 X 6   ,1,1,106.346,106.449,106.346,0.52,0.54,0.4
200610,211602,EGGS-MEDIUM-PER DOZ OR 2 X 6  ,1,1,104.648,104.847,104.648,0.52,0.46,0.4
200610,211707,DELVD MILK SEMI-SKIMMED PER PT,1,0,102.431,102.43,102.43,0.78,0.8,0.6
200610,211709,SHOP MILK-WHOLE MILK-4PT/2LTR ,1,1,99.205,99.192,99.205,1.69,1.55,1.3
200610,211710,MILK SEMI-PER 2 PINTS/1.136 L ,1,1,101.832,101.913,101.832,2.86,2.65,2.2
200610,211806,YOGHURT/FROMAGE FRAIS-SMALL   ,1,1,104.47,103.885,104.47,1.17,1.44,0.9
200610,211807,"YOGHURT/FROMAGE 4-6PK, 45-125G",1,1,100.921,100.095,100.921,0.91,1.16,0.7
200610,211808,CHILLED POT DESSERT 125-200G  ,1,1,102.767,103.013,102.767,0.91,1.04,0.7
200610,211809,FRESH SINGLE CREAM 284-300ML  ,1,1,97.957,98.264,97.957,0.26,0.36,0.2
200610,211901,TEA BAGS PKT OF 80 (230G-250G),1,1,109.733,110.563,109.733,0.93,0.77,0.62
200610,211904,TEA BAGS-2-PACKET OF 240      ,1,1,118.197,118.79,118.197,0.3,0.23,0.2
200610,212001,"FRUIT SQUASH, 750ML - 1.5LT   ",1,1,100.366,100.181,100.366,0.9,1.1,0.7
200610,212005,PURE ORANGE JUICE-1 LTR CARTON,1,1,106.501,108.125,106.501,0.99,0.9,0.77
200610,212006,FRUIT JUICE NOT ORANGE 1L     ,1,1,109.756,111.07,109.756,0.63,0.6,0.49
200610,212008,LEMONADE-2 LITRE BOTTLE       ,1,1,114.754,121.18,114.754,0.27,0.3,0.21
200610,212009,FRUIT DRINK-200-290ML 3-PACK  ,1,1,99.401,98.749,99.401,0.54,0.6,0.42
200610,212010,MINERAL WATER STILL 1.5-2L    ,1,1,100.038,99.857,100.038,0.72,0.9,0.56
200610,212011,COLA FLAVD DRINK 1.75-2 LT BTL,1,1,102.054,102.439,102.054,1.44,1.7,1.12
200610,212012,PK6/8 FIZZY DRINK/COLA CANS   ,1,1,103.161,103.217,103.161,0.27,0.3,0.21
200610,212015,FIZZY ENERGY DRINK 250-500ML  ,1,1,101.732,101.817,101.732,0.72,0.8,0.56
200610,212016,FRESH/CHILL ORANGE JUICE 900ML,1,1,101.199,101.504,101.199,0.54,0.5,0.42
200610,212017,FIZZY BOTTLED DRINK 500ML     ,1,1,102.607,102.695,102.607,0.9,1,0.7
200610,212018,FIZZY CANNED DRINK 330ML      ,1,1,102.868,103.415,102.868,1.08,1.3,0.84
200610,212101,SUGAR -GRANULATED-WHITE-PER KG,1,1,100.043,100.028,100.043,0.22,0.44,0.18
200610,212106,JAR OF JAM-340-454G           ,1,1,102.889,103.591,102.889,0.33,0.56,0.27
200610,212202,MINTS                         ,1,1,105.285,105.183,105.285,0.33,0.3,0.27
200610,212207,CANDY COATED CHOCOLATE        ,1,1,106.391,106.346,106.391,0.55,0.6,0.45
200610,212211,CHOCOLATE 4                   ,1,1,106.316,106.252,106.316,1.65,1.8,1.35
200610,212214,FRUIT PASTILLES 2             ,1,1,106.156,105.9,106.156,0.99,1.1,0.81
200610,212215,BAG OF SWEETS 150 - 250G      ,1,1,100.152,99.657,100.152,1.21,1.3,0.99
200610,212217,CHEWING/BUBBLE GUM-SINGLE PK  ,1,1,104.542,104.514,104.542,0.33,0.4,0.27
200610,212218,CARTON/BOX OF CHOCS 150-400GM ,1,1,99.408,99.188,99.408,1.32,1.4,1.08
200610,212219,CHOCOLATE 8                   ,1,1,103.424,103.151,103.424,0.44,0.5,0.36
200610,212222,CHOCOLATE 10                  ,1,1,103.764,103.617,103.764,2.42,2.6,1.98
200610,212360,POTATOES-OLD WHITE PER KG     ,1,0,112.586,114.039,112.586,0,0.51,0
200610,212361,POTATOES- BAKING PER KG       ,1,0,106.445,106.456,106.445,0,0.11,0
200610,212399,POTATOES-NEW-LOOSE-PER KG     ,1,0,97.206,95.768,97.206,0,0.38,0
200610,212402,POTATO CRISPS-25G/40G         ,1,1,104.956,105.153,104.956,0.84,0.6,0.66
200610,212404,POTATO CRISPS-MULTI-PACK      ,1,1,104.734,105.03,104.734,1.12,0.87,0.88
200610,212405,FROZEN CHIPS 900G-1KG         ,1,1,99.655,98.477,99.655,0.84,1.11,0.66
200610,212408,PREMIUM POTATO CRISPS/CHIPS   ,1,1,101.05,100.806,101.05,0.56,0.42,0.44
200610,212504,FRESH VEG-CAULIFLOWER-EACH    ,1,1,63.478,63.385,63.478,1.12,1.08,0.88
200610,212510,FRESH VEG-CUCUMBER-WHOLE      ,1,1,91.782,91.884,91.782,0.42,0.36,0.33
200610,212511,FRESH VEG-LETTUCE-ICEBERG-EACH,1,1,94.288,94.409,94.288,0.42,0.42,0.33
200610,212515,FRESH VEG-TOMATOES-PER KG     ,1,1,122.632,123.839,122.632,1.12,1.08,0.88
200610,212516,FRESH VEG-CABBAGE-WHOLE-PER KG,1,1,107.366,108.836,107.366,0.28,0.3,0.22
200610,212517,FRESH VEG-SPROUTS-PER KG      ,1,1,131.367,131.957,131.367,0.14,0.18,0.11
200610,212518,FRESH VEG-CARROTS-PER KG      ,1,1,121.564,122.468,121.564,0.42,0.42,0.33
200610,212519,FRESH VEG-ONIONS-PER KG       ,1,1,119.661,121.337,119.661,0.84,0.84,0.66
200610,212520,FRESH VEG-MUSHROOMS-PER KG    ,1,1,104.949,105.597,104.949,0.7,0.72,0.55
200610,212526,FRESH VEG-ORGANIC CARROTS KG  ,1,1,92.788,92.832,92.788,0.14,0.12,0.11
200610,212527,PRE-PACKED SALAD 100-250G     ,1,1,101.821,101.507,101.821,0.14,0.06,0.11
200610,212528,FRESH VEG- LETTUCE- ROUND     ,1,1,117.763,117.874,117.763,0.42,0.36,0.33
200610,212529,PRE-PACKED VEG EG BABY CORN   ,1,1,93.679,94.476,93.679,0.14,0.06,0.11
200610,212601,CANNED TOMATOES 390-400G      ,1,1,98.142,98.497,98.142,0.28,0.32,0.22
200610,212603,"BAKED BEANS, 400-420G TIN     ",1,1,106.488,106.913,106.488,0.56,0.5,0.44
200610,212608,CANNED SWEETCORN 198-340G     ,1,1,98.885,99.106,98.885,0.56,0.5,0.44
200610,212609,FROZEN GARDEN PEAS 800G-1KG   ,1,1,118.066,118.45,118.066,0.7,0.68,0.55
200610,212709,ORANGES-CLASS 1-EACH          ,1,1,96.31,95.887,96.31,0.4,0.36,0.3
200610,212710,AVOCADO PEAR-EACH             ,1,1,119.041,120.434,119.041,0.8,0.72,0.6
200610,212712,KIWI FRUIT-EACH               ,1,1,109.172,107.448,109.172,0.4,0.36,0.3
200610,212714,PEACHES-EACH                  ,1,1,122.36,124.464,122.36,0,0,0
200610,212715,GRAPEFRUIT-EACH               ,1,1,98.175,98.302,98.175,0.72,0.66,0.54
200610,212716,APPLES-COOKING-PER KG         ,1,1,100.563,100.338,100.563,0.32,0.3,0.24
200610,212717,APPLES-DESSERT-PER KG         ,1,1,115.337,116.174,115.337,0.8,0.72,0.6
200610,212718,PEARS-DESSERT-PER KG          ,1,1,117.356,117.964,117.356,0.4,0.36,0.3
200610,212719,BANANAS-PER KG                ,1,1,99.026,99.055,99.026,1.6,1.38,1.2
200610,212720,STRAWBERRIES PER KG OR PUNNET ,1,1,79.994,79.337,79.994,0,0,0
200610,212722,GRAPES-PER KG                 ,1,1,110.204,111.387,110.204,0.88,0.78,0.66
200610,212724,BAG OF ORGANIC DESSERT APPLES ,1,1,110.805,110.859,110.805,0.4,0.36,0.3
200610,212806,PACKET OF PEANUTS 90-200G     ,1,1,104.663,104.998,104.663,0.72,0.66,0.54
200610,212807,CANNED FRUIT-400-450G         ,1,1,100.718,101.557,100.718,0.56,0.34,0.42
200610,212905,VEGETABLE PICKLE 280-520G     ,1,1,99.831,99.711,99.831,0.14,0.11,0.11
200610,212910,CANNED SOUP-390-425G          ,1,1,100.228,99.414,100.228,0.18,0.66,0.18
200610,212914,CHOC COVERED ICE CREAM BAR    ,1,1,105.445,105.675,105.445,0.55,0.44,0.45
200610,212917,TOMATO KETCHUP                ,1,1,99.287,99.633,99.287,0.24,0.88,0.24
200610,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,100.398,100.011,100.398,0.3,1.1,0.3
200610,212922,CHILLED RDY-COOKD MEAL-SERVE 1,1,1,101.856,101.925,101.856,0.7,2.64,0.7
200610,212923,COOK-IN SAUCE-JAR/CAN 350-520G,1,1,104.379,104.727,104.379,0.3,1.1,0.3
200610,212924,FROZEN PIZZA-MED SIZE-300-450G,1,1,99.454,99.973,99.454,1.05,1.32,0.84
200610,212927,BABY FOOD-CAN/JAR             ,1,1,101.327,102.575,101.327,0.08,0.33,0.08
200610,212928,FROZ VEG BURGER/GRILL 200-454G,1,1,104.445,104.821,104.445,0.42,0.44,0.33
200610,212930,MAYONNAISE 390-500G/420-540MLS,1,1,101.071,100.977,101.071,0.2,0.77,0.2
200610,212932,FROZEN VEG READY MEAL 300-350G,1,1,101.442,101.272,101.442,0.14,0.11,0.11
200610,212933,ICE CREAM 500ML-1L            ,1,1,95.18,94.511,95.18,0.66,0.55,0.54
200610,212934,DRIED POTTED SNACK 50-120G    ,1,1,110.962,111.652,110.962,0.45,0.55,0.36
200610,213001,COFFEE: GROUND: FILTER FINE   ,1,1,95.779,94.551,95.779,0.27,0.14,0.18
200610,213003,COFFEE-INSTANT-100G JAR       ,1,1,108.96,109.321,108.96,1.5,0.86,1
200610,220106,PUB: COLD FILLED ROLL/SANDWICH,1,1,102.658,102.938,102.658,3.09,2.97,2.43
200610,220107,PUB -HOT MEAL                 ,1,1,102.582,102.492,102.582,4.12,2.97,3.24
200610,220111,BURGER IN BUN-EAT IN          ,1,1,101.142,101.311,101.142,3.09,2.97,2.43
200610,220115,FRUIT JUICE                   ,1,1,102.148,102.149,102.148,2.06,1.62,1.62
200610,220116,LEMONADE/COLA DRAUGHT         ,1,1,103.591,103.695,103.591,2.06,1.89,1.62
200610,220117,BOTTLED MINERAL WATER         ,1,1,102.768,103.079,102.768,2.06,1.62,1.62
200610,220118,RESTAURANT MAIN COURSE 1      ,1,1,102.5,102.493,102.5,3.09,2.97,2.43
200610,220119,RESTAURANT MAIN COURSE 2      ,1,1,100.863,101.196,100.863,3.09,2.7,2.43
200610,220120,IN STORE CAFETERIA MEAL       ,1,1,99.337,99.425,99.337,3.09,2.7,2.43
200610,220121,RESTAURANT CUP OF COFFEE      ,1,1,100.5,100.586,100.5,2.06,1.89,1.62
200610,220122,RESTAURANT - SWEET COURSE     ,1,1,101.292,101.307,101.292,3.09,2.7,2.43
200610,220205,STAFF RESTAURANT MAIN COURSE  ,1,1,100.706,100.723,100.706,2.6,0.56,2
200610,220208,STAFF RESTAURNT HOT SNACK ITEM,1,1,102.485,101.822,102.485,2.47,0.56,1.9
200610,220209,PRIMARY SCHOOL- FIXED CHARGE  ,1,1,104.336,104.274,104.336,0.26,0.64,0.2
200610,220210,SECONDARY SCHOOL- CAFETERIA   ,1,1,101.695,101.724,101.695,0.39,0.64,0.3
200610,220211,STAFF RESTAURANT FIZZY DRINK  ,1,1,102.697,102.677,102.697,2.34,0.52,1.8
200610,220212,STAFF RESTAURANT SANDWICH     ,1,1,100.919,101.198,100.919,2.6,0.56,2
200610,220213,STAFF RESTAURANT PUDDING      ,1,1,100.519,101.159,100.519,2.34,0.52,1.8
200610,220301,FISH & CHIPS TAKEAWAY         ,1,1,104.989,104.834,104.989,2.06,1.71,1.62
200610,220303,SANDWICH-TAKE-AWAY (COLD)     ,1,1,102.374,102.136,102.374,3.09,2.85,2.43
200610,220304,COFFEE -TAKE-AWAY             ,1,1,104.034,104.199,104.034,1.03,0.38,0.81
200610,220305,TEA -TAKE-AWAY                ,1,1,104.152,103.939,104.152,1.03,0.38,0.81
200610,220310,POTATO CRISPS-INDIVIDUAL PACK ,1,1,102.499,102.588,102.499,1.03,1.33,0.81
200610,220316,PIZZA TAKEAWAY OR DELIVERED   ,1,1,101.111,101.127,101.111,2.06,1.71,1.62
200610,220317,PASTY/SAVOURY PIE - TAKEAWAY  ,1,1,103.318,103.331,103.318,2.06,1.71,1.62
200610,220318,INDIAN TAKEAWAY               ,1,1,101.213,101.253,101.213,2.06,1.71,1.62
200610,220319,CHINESE TAKEAWAY              ,1,1,101.371,101.309,101.371,2.06,1.71,1.62
200610,220320,TAKEAWAY SOFT DRINK           ,1,1,103.082,103.05,103.082,1.03,0.38,0.81
200610,220321,TAKEAWAY COFFEE LATTE         ,1,1,102.52,102.617,102.52,1.03,0.38,0.81
200610,220322,BURGER IN BUN- TAKEAWAY       ,1,1,102.594,102.425,102.594,2.06,1.71,1.62
200610,220323,KEBAB- TAKEAWAY               ,1,1,102.223,102.225,102.223,2.06,1.71,1.62
200610,220324,CINEMA POPCORN                ,1,1,104.381,104.216,104.381,1.03,1.33,0.81
200610,310102,DRAUGHT BITTER (PER PINT)     ,1,1,103.616,103.716,103.616,10.3,9.3,8.1
200610,310104,DRAUGHT STOUT PER PINT        ,1,1,103.417,103.604,103.417,2.06,2.17,1.62
200610,310106,CIDER-1/2PT OR 275-340ML BOT  ,1,1,103.059,103.172,103.059,2.06,1.86,1.62
200610,310109,LAGER - PINT 3.4-4.2%         ,1,1,103.908,104.126,103.908,6.18,6.2,4.86
200610,310110,PREMIUM LAGER - PINT 4.3-7.5% ,1,1,102.854,102.914,102.854,6.18,6.2,4.86
200610,310111,BOTTLED PREMIUM LAGER 4.3-7.5%,1,1,102.774,103.018,102.774,2.06,2.17,1.62
200610,310112,BOTTLE OF LAGER IN NIGHTCLUB  ,1,1,100.858,100.893,100.858,3.09,3.1,2.43
200610,310205,CIDER 1-2 LITRE BOTTLE        ,1,1,99.907,99.818,99.907,0.45,0.5,0.35
200610,310207,BITTER-4CANS-440-500ML        ,1,1,99.046,99.074,99.046,0.72,0.8,0.72
200610,310213,LAGER 4 CANS- PREMIUM 4.3-7.5%,1,1,99.874,99.42,99.874,0.8,0.9,0.8
200610,310214,LAGER STUBBIES 4.3-7.5% ABV   ,1,1,108.123,105.908,108.123,0.52,0.6,0.52
200610,310215,LAGER 4 BOTTLES- PREMIUM      ,1,1,103.878,103.946,103.878,1.12,1.25,1.12
200610,310216,LAGER 12 - 24 CANS (440-500ML),1,1,98.795,98.856,98.795,0.84,0.95,0.84
200610,310301,WHISKY (PER NIP) SPECIFY ML   ,1,1,103.739,104.17,103.739,2.06,2.72,1.62
200610,310302,VODKA (PER NIP) SPECIFY ML    ,1,1,103.282,103.591,103.282,3.09,3.91,2.43
200610,310306,BOTTLE OF MIXER 125-200ML     ,1,1,102.814,102.823,102.814,1.03,0.17,0.81
200610,310307,LIQUEUR PER NIP   SPECIFY ML  ,1,1,102.882,103.166,102.882,1.03,1.36,0.81
200610,310309,SPIRIT BASED DRINK 275ML      ,1,1,101.951,102.139,101.951,1.03,1.7,0.81
200610,310310,"WINE, PER 175 - 250 ML SERVING",1,1,104.02,104.429,104.02,3.09,3.23,2.43
200610,310314,BOTTLE OF CHAMPAGNE           ,1,1,100.777,100.528,100.777,1.03,0.68,0.81
200610,310315,BOTTLE OF WINE 70-75CL        ,1,1,101.775,101.786,101.775,3.09,3.23,2.43
200610,310401,WHISKY-70 CL BOTTLE           ,1,1,102.015,101.914,102.015,2.4,2.38,1.92
200610,310403,VODKA-70 CL BOTTLE            ,1,1,101.484,101.281,101.484,1.7,1.68,1.36
200610,310405,BRANDY-68-70 CL BOTTLE        ,1,1,98.437,98.576,98.437,0.45,0.42,0.36
200610,310406,FORTIFIED WINE  (70-75CL)     ,1,1,98.65,98.915,98.65,0.27,0.28,0.21
200610,310417,SPIRIT BASED DRINK 250-330MLS ,1,1,99.303,99.268,99.303,0.45,0.42,0.36
200610,310419,WHITE WINE- EUROPEAN 75CL     ,1,1,101.458,101.825,101.458,1.71,1.82,1.33
200610,310420,WHITE WINE- NEW WORLD 75CL    ,1,1,103.094,103.396,103.094,1.35,1.4,1.05
200610,310421,RED WINE- EUROPEAN 75CL       ,1,1,99.479,99.928,99.479,2.25,2.38,1.75
200610,310422,RED WINE- NEW WORLD 75CL      ,1,1,100.156,100.463,100.156,1.53,1.68,1.19
200610,310423,BOTTLE OF CHAMPAGNE 75 CL     ,1,1,104.935,104.701,104.935,0.9,0.98,0.7
200610,310424,WINE BOX 3 LITRES MIN ABV 11% ,1,1,100.361,100.323,100.361,0.54,0.56,0.42
200610,320108,CIGARETTES 8                  ,1,1,103.599,103.597,103.599,2.86,3.12,2.2
200610,320110,CIGARETTES 10                 ,1,1,103.825,103.846,103.825,3.38,3.64,2.6
200610,320112,CIGARETTES 12                 ,1,1,103.754,103.753,103.754,1.82,2.08,1.4
200610,320113,CIGARETTES 13                 ,1,1,103.453,103.454,103.453,3.64,4.16,2.8
200610,320115,CIGARETTES 15                 ,1,1,104.247,104.244,104.247,5.46,5.98,4.2
200610,320118,CIGARETTES 18                 ,1,1,104.615,104.617,104.615,3.9,4.42,3
200610,320119,VENDING MACHINE CIGARETTES    ,1,1,103.97,103.949,103.97,1.3,1.3,1
