index_date,item_id,item_desc,index_algorithm,stratum_ind,item_index,all_gm_index,gm_ra_index,coicop_weight,item_weight,cpih_coicop_weight
201501,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,95.615,95.16,95.615,0.34,0.5,0.28
201501,210106,SIX BREAD ROLLS-WHITE/BROWN   ,1,1,100.211,100.174,100.211,0.68,0.85,0.56
201501,210111,WHITE SLICED LOAF BRANDED 750G,1,1,91.708,90.49,91.708,1.19,1.55,0.98
201501,210113,WHOLEMEAL SLICED LOAF BRANDED ,1,1,89.232,88.039,89.232,0.85,1.1,0.7
201501,210114,CHILLED GARLIC BREAD          ,1,1,97.348,98.469,97.348,0.85,1,0.7
201501,210201,FLOUR-SELF-RAISING-1.5KG      ,1,1,86.366,85.991,86.366,0.34,0.2,0.28
201501,210204,DRY SPAGHETTI OR PASTA 500G   ,1,1,92.166,90.567,92.166,0.17,0.36,0.14
201501,210211,CORN SNACK SINGLE PACKET      ,1,1,102.504,103.418,102.504,1.19,0.56,0.98
201501,210212,BASMATI RICE 500G-1KG         ,1,1,104.416,104.65,104.416,0.51,0.68,0.42
201501,210213,BREAKFAST CEREAL 1            ,1,1,97.033,96.223,97.033,1.19,0.64,0.98
201501,210214,BREAKFAST CEREAL 2            ,1,1,96.083,95.89,96.083,2.04,1.04,1.68
201501,210215,CEREAL BAR                    ,1,1,96.696,95.619,96.696,0.68,0.36,0.56
201501,210216,HOT OAT CEREAL                ,1,1,97.95,98.833,97.95,0.34,0.16,0.28
201501,210301,CREAM CRACKERS PACK 200G-300G ,1,1,99.831,98.326,99.831,0.51,0.56,0.42
201501,210302,PLAIN BISCUITS-200-300G       ,1,1,97.982,98.066,97.982,1.36,1.75,1.12
201501,210317,FRUIT PIES 4-6 PACK           ,1,1,93.307,93.167,93.307,0.34,0.42,0.28
201501,210319,DOUGHNUT-EACH                 ,1,1,103.573,102.918,103.573,0.68,0.98,0.56
201501,210320,WHOLE SPONGE CAKE NOT FROZEN  ,1,1,101.77,99.754,101.77,0.68,0.98,0.56
201501,210321,PACK OF 5-6 INDIVIDUAL CAKES  ,1,1,102.386,103.005,102.386,0.68,0.84,0.56
201501,210322,CHOCOLATE 11                  ,1,1,101.528,101.555,101.528,0.68,1.47,0.56
201501,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,99.966,99.867,99.966,0.88,1.28,0.72
201501,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,104.25,104.51,104.25,0.88,1.04,0.72
201501,210413,HOME KILLED BEEF-TOPSIDE KG   ,1,1,99.842,100.862,99.842,0.44,0.68,0.36
201501,210414,FROZEN BEEFBURGERS PACK OF 4  ,1,1,99.677,99.396,99.677,0.22,0.44,0.18
201501,210415,H-KILLED BEEF BRAISING STEAK  ,1,1,101.525,101.61,101.525,0.44,0.56,0.36
201501,210501,HOME KILLED LAMB-LOIN CHOPS KG,1,1,97.306,97.965,97.306,0.44,0.47,0.36
201501,210502,HOME KILLED LAMB-SHOULDER KG  ,1,1,98.81,99.306,98.81,0.44,0.53,0.36
201501,210606,FRZEN IMP LAMB: LEG (PER KG)  ,1,1,104.67,104.854,104.67,0.66,1,0.54
201501,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,96.809,96.267,96.809,1.32,1,1.08
201501,210802,BACON-GAMMON-PER KG           ,1,1,94.471,94.446,94.471,0.88,0.54,0.72
201501,210808,BACON-BACK-PER KG             ,1,1,99.459,99.133,99.459,2.64,1.46,2.16
201501,210905,FRESH/CHILLED CHICKEN  PER KG ,1,1,95.159,95.061,95.159,0.66,0.92,0.54
201501,210910,FRESH BONELESS CHICKEN BREAST ,1,1,96.079,95.678,96.079,1.1,1.64,0.9
201501,210911,FRESH TURKEY STEAKS PER KG    ,1,1,95.667,95.458,95.667,0.22,0.44,0.18
201501,210912,FROZEN CHICKEN BREASTS        ,1,1,97.119,97.109,97.119,0.66,0.76,0.54
201501,210913,ROTISSERIE CHICKEN [WHOLE]    ,1,1,101.704,101.741,101.704,0.22,0.24,0.18
201501,211007,CANNED MEAT-STEWED STEAK      ,1,1,99.053,98.728,99.053,0.44,0.21,0.36
201501,211010,PORK PIE INDIVIDL APP 3IN/8CM ,1,1,100.947,100.846,100.947,0.66,0.35,0.54
201501,211011,INDIVIDUAL MEAT PIE           ,1,1,97.494,97.442,97.494,1.32,0.77,1.08
201501,211014,SAUSAGES-PORK-PER KG          ,1,1,96.377,95.328,96.377,1.54,0.91,1.26
201501,211016,COOKED HAM LOOSE SPECIFY TYPE ,1,1,104.722,104.899,104.722,0.66,0.42,0.54
201501,211018,COOKED MEAT - SLICED TURKEY   ,1,1,97.626,97.378,97.626,0.44,0.63,0.36
201501,211019,FROZ CHICKEN NUGGETS 220-600G ,1,1,105.261,103.966,105.261,0.66,0.77,0.54
201501,211021,CHICKEN KIEV 2 PACK 250-300G  ,1,1,98.957,98.558,98.957,0.66,0.77,0.54
201501,211022,OVEN READY JOINT              ,1,1,96.438,96.201,96.438,0.22,0.42,0.18
201501,211023,COOKED HAM PREPACKED SLICED   ,1,1,93.761,94.437,93.761,2.42,1.33,1.98
201501,211024,CONTINENTAL SLICED DELI MEAT  ,1,1,98.591,98.264,98.591,0.88,0.42,0.72
201501,211101,FRESH WHITE FISH FILLETS KG   ,1,1,107.847,109.374,107.847,1.04,0.66,0.78
201501,211105,FRESH FISH-SALMON FILLETS-KG  ,1,1,97.237,96.739,97.237,1.28,0.8,0.96
201501,211106,FROZEN PRAWNS PER KG          ,1,1,107.454,107.365,107.454,0.36,0.54,0.27
201501,211207,"CANNED FISH, TUNA, 130G-200G  ",1,1,91.65,90.682,91.65,0.6,0.9,0.45
201501,211210,FROZEN FISH FINGERS 8-12 PK   ,1,1,101.722,102.853,101.722,0.6,0.92,0.45
201501,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,100.884,100.58,100.884,0.12,0.18,0.09
201501,211305,SPREADABLE BUTTER             ,1,1,102.822,102.453,102.822,0.38,0.54,0.38
201501,211306,BUTTER 250G SPEC COO          ,1,1,98.411,97.216,98.411,0.34,0.46,0.34
201501,211407,MARGARINE/LOW FAT SPREAD-500G ,1,1,94.78,94.416,94.78,0.78,1.18,0.78
201501,211408,OLIVE OIL - 500ML - 1 LITRE   ,1,1,96.01,95.654,96.01,0.5,0.82,0.5
201501,211501,CHEDDAR-HOME PRODUCED PER KG  ,1,1,100.805,100.266,100.805,2.1,2.28,1.65
