INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201711,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.297,100.408,100.297,0.3,0.44,0.24
201711,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,100.976,100.043,100.976,0.6,0.68,0.48
201711,210111,WHITE SLICED LOAF BRANDED 750G,1,1,106.706,107.086,106.706,0.9,1.16,0.72
201711,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,103.673,104.471,103.673,0.75,0.84,0.6
201711,210114,CHILLED GARLIC BREAD,1,1,107.711,106.943,107.711,0.75,0.88,0.6
201711,210201,FLOUR-SELF-RAISING-1.5KG,1,1,103.651,103.205,103.651,0.3,0.12,0.24
201711,210204,DRY SPAGHETTI OR PASTA 500G,1,1,100.204,99.561,100.204,0.15,0.24,0.12
201711,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,102.122,101.832,102.122,0.9,0.48,0.72
201711,210212,BASMATI RICE 500G-1KG,1,1,110.077,108.877,110.077,0.3,0.45,0.24
201711,210213,BREAKFAST CEREAL 1,1,1,100.389,100.056,100.389,0.9,0.45,0.72
201711,210214,BREAKFAST CEREAL 2,1,1,103.148,101.527,103.148,1.5,0.75,1.2
201711,210215,CEREAL BAR,1,1,119.352,119.321,119.352,0.45,0.3,0.36
201711,210216,HOT OAT CEREAL,1,1,95.731,96.217,95.731,0.15,0.12,0.12
201711,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,103.306,104.063,103.306,0.15,0.09,0.12
201711,210301,CREAM CRACKERS PACK 200G-300G,1,1,101.233,105.187,101.233,0.6,0.6,0.48
201711,210302,PLAIN BISCUITS-200-300G,1,1,104.044,103.845,104.044,1.35,1.62,1.08
201711,210317,FRUIT PIES 4-6 PACK,1,1,103.656,103.65,103.656,0.3,0.36,0.24
201711,210319,DOUGHNUT-EACH,1,1,105.458,104.909,105.458,0.75,0.84,0.6
201711,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,104.608,105.198,104.608,0.75,0.84,0.6
201711,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,111.508,111.682,111.508,0.9,0.96,0.72
201711,210323,BISCUITS HALF CHOC 260-400G,1,1,97.513,97.41,97.513,0.75,0.78,0.6
201711,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,99.742,99.517,99.742,0.8,1.32,0.64
201711,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,102.082,101.803,102.082,1,1.48,0.8
201711,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,102.064,102.337,102.064,0.4,0.76,0.32
201711,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,102.902,103.465,102.902,0.4,0.44,0.32
201711,210502,HOME KILLED LAMB-SHOULDER KG,1,1,103.003,103.097,103.003,0.4,0.65,0.32
201711,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,101.626,102.147,101.626,0.2,0.35,0.16
201711,210606,FRZEN IMP LAMB: LEG (PER KG),1,1,118.868,119.066,118.868,0.8,1,0.64
