INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201706,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.344,100.528,100.344,0.3,0.44,0.24
201706,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,99.472,99.48,99.472,0.6,0.68,0.48
201706,210111,WHITE SLICED LOAF BRANDED 750G,1,1,104.131,104.491,104.131,0.9,1.16,0.72
201706,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,102.165,102.614,102.165,0.75,0.84,0.6
201706,210114,CHILLED GARLIC BREAD,1,1,101.632,101.153,101.632,0.75,0.88,0.6
201706,210201,FLOUR-SELF-RAISING-1.5KG,1,1,103.713,103.33,103.713,0.3,0.12,0.24
201706,210204,DRY SPAGHETTI OR PASTA 500G,1,1,98.559,98.99,98.559,0.15,0.24,0.12
201706,210211,CORN SNACK SINGLE PACKET,1,1,103.732,103.551,103.732,0.9,0.48,0.72
201706,210212,BASMATI RICE 500G-1KG,1,1,109.047,107.14,109.047,0.3,0.45,0.24
201706,210213,BREAKFAST CEREAL 1,1,1,103.022,102.614,103.022,0.9,0.45,0.72
201706,210214,BREAKFAST CEREAL 2,1,1,102.165,101.437,102.165,1.5,0.75,1.2
201706,210215,CEREAL BAR,1,1,119.579,121.772,119.579,0.45,0.3,0.36
201706,210216,HOT OAT CEREAL,1,1,103.442,104.385,103.442,0.15,0.12,0.12
201706,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,101.414,101.677,101.414,0.15,0.09,0.12
201706,210301,CREAM CRACKERS PACK 200G-300G,1,1,98.752,99.474,98.752,0.6,0.6,0.48
201706,210302,PLAIN BISCUITS-200-300G,1,1,102.136,102.681,102.136,1.35,1.62,1.08
201706,210317,FRUIT PIES 4-6 PACK,1,1,97.785,97.808,97.785,0.3,0.36,0.24
201706,210319,DOUGHNUT-EACH,1,1,102.445,102.196,102.445,0.75,0.84,0.6
201706,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,103.611,103.22,103.611,0.75,0.84,0.6
201706,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,102.354,102.147,102.354,0.9,0.96,0.72
201706,210323,BISCUITS HALF CHOC 300-400G,1,1,93.193,93.96,93.193,0.75,0.78,0.6
201706,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,100.902,100.97,100.902,0.8,1.32,0.64
201706,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,100.525,100.956,100.525,1,1.48,0.8
201706,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,99.77,99.852,99.77,0.4,0.76,0.32
201706,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,99.96,99.491,99.96,0.4,0.44,0.32
201706,210502,HOME KILLED LAMB-SHOULDER KG,1,1,105.254,104.651,105.254,0.4,0.65,0.32
201706,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,102.996,103.094,102.996,0.2,0.35,0.16
201706,210606,FRZEN IMP LAMB: LEG (PER KG),1,1,108.73,109.189,108.73,0.8,1,0.64
201706,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,102.053,102.107,102.053,1,1,0.8
