date,DLOG(IP)*100,DLOG(RPI_D11)*100,CLI,DLOG(EXPORTS)*100,DLOG(IMPORTS)*100,DLOG(GOVTCONS)*100,DLOG(CAPITAL)*100,DLOG(CONSUMPTION)*100,DLOG(GDPDEF*100)*100,DLOG(WAGES)*100,GB1,DLOG(GDP)*100,DLOG(CPI_D11)*100,TBILL,GB20-TBILL,GBYIELD-TBILL,GB5-TBILL,DLOG(BRENT)*100,CPSPREAD,DLOG(REALHP)*100,DIVYIELD,PE,DLOG(DOLLARATE)*100,DLOG(EURORATE)*100,DLOG(YENRATE)*100,DLOG(NEER)*100,DLOG(REER)*100,DLOG(STOCK)*100,DLOG(M4/CPI_D11)*100,DLOG(BROAD_MONEY/CPI_D11)*100,DLOG(COM)*100,UNEMPLOY,DLOG(EMPLOY)*100,DLOG(M1/CPI_D11)*100,MORT_RATE-GBYIELD,DLOG(STOCK_VOL)*100,DLOG(EPU1)*100,BAA_US-GB10_US,STOCK_BUILD,DLOG(NPISH_CONS)*100,DLOG(DOM_DEMAND)*100,DLOG(VACANCY)*100,DLOG(WORKFORCE_JOBS)*100,DLOG(EMP_JOBS)*100,DLOG(SELF_JOBS)*100,CORP_BOR_SPREADS,PNFC_LOAN_RATE,DLOG(M0/CPI_D11)*100,DLOG(DIVISIA/CPI_D11)*100,DLOG(FTSE_IND)*100,INF_EXP,DLOG(CCI)*100,DLOG(RETAIL_TRADE)*100,DLOG(CAR_REGISTRATION)*100,DLOG(MANUFACTURE_D11)*100,DLOG(CONSTRUCTION)*100,DLOG(INTER_GOODS)*100,DLOG(PROD_INVEST)*100,SURVEY_FIN,SURVEY_ECON,SURVEY_ECON_NEXTYEAR,SURVEY_PRICE,SURVEY_PRICE_NEXTYEAR,SURVEY_UNEMPLOY,SURVEY_FIN_LASTYEAR,DLOG(COM_FOOD)*100,DLOG(COM_NON_FOOD)*100,DLOG(COM_METALS)*100,DLOG(COM_INDUSTRIAL)*100,DLOG(CPI_FOOD_D11)*100,DLOG(CPI_ENERGY_D11)*100,DLOG(DEBT_DOMESTIC)*100,DLOG(DEBT_DOMESTIC_NON_FIN)*100,DLOG(DEBT_GOV)*100,DLOG(DEBT_TOTAL)*100,DLOG(ELECTRIC_SUPPLY_D11)*100,DLOG(ELECTRIC_IMPORTS)*100,DLOG(GAS_IMPORTS_D11)*100,DLOG(GAS_PROD_D11)*100,DLOG(FT_SMALL_CAP)*100,DLOG(FT_MID_CAP)*100,DLOG(FT_LOWYIELD_CAP)*100,DLOG(FT_LARGE_CAP)*100,DLOG(FTSE100)*100,DLOG(FT_INDEX_LINKED)*100,DLOG(RESIDENTIAL_PRICES)*100,DLOG(TOTAL_RESERVES)*100,DLOG(ULC)*100,DLOG(CPI_NO_FOOD_ENER_D11)*100,SURVEY_BUSINESS,NET_TRADE,DLOG(CONS_DEF)*100
1985Q1,3.45935567,1.543809646,99.65887,1.143450938,0.276231509,1.084563551,7.323544204,2.121925612,0,2.174084603,11.55,0.816664569,1.492548737,12.375,-3.195,-1.285,-1.085,4.16048428,0.83,0.503433663,4.34,11.82,6.518597988,4.326321283,6.279770774,-3.455397038,-4.05443564,5.086986587,1.204367196,1.203849151,1.980280049,11.2,0.326864438,2.411400952,1.536666667,15.60309397,0.206435101,1.74,-3119,5.006319115,0.642483005,4.674897957,0.192209907,0.077399385,0.911915858,2.28,15.43,0.142325639,0.889494075,10.36841782,6.4,-2.376312139,-0.366077287,0.224824551,4.269533696,0.839883045,0.310505657,4.232997188,-6,-45.5,-14.5,24.5,53.5,34.5,-18,0.412505859,-6.655498294,1.660463308,-0.671199504,1.826749271,3.343854659,2.918579416,8.623467792,-74.14139215,3.637874447,0.025127483,212.8444268,-0.741003795,-6.793622001,5.848975359,4.336076919,1.14353666,0.329880393,4.709020219,0.790589787,-1.027456565,-1.830812827,0.908848385,1.572458613,100.6159824,-2.661720845,1.031927849
1985Q2,3.890243829,2.319617578,99.40288,3.80208244,-2.678182758,-3.350008449,-8.656073331,0.705708225,2.353049741,2.028247265,11.3,2.095690874,1.374920735,12,-2.54,-0.95,-0.99,-6.515293144,0.513333333,1.515859515,4.6,11.12,5.776502593,2.821467674,4.735305171,7.820295969,9.038334148,-2.267791655,1.905901855,1.906490508,-4.136566164,11.2,0.224101143,2.542685912,2.806666667,-31.40317652,-9.538454951,2.77,2874,-0.675805088,0.539325576,4.005246774,0.180566577,0.167493436,0.975617495,1.98,14.51,-0.43225861,0.315260345,1.86670712,3.6,-0.245404776,1.215081856,-0.724294102,-1.363907848,-0.580893924,0.686580134,1.45222401,-5.5,-40,-18,30,46.5,36,-18,-5.898743922,6.523950513,0.448133294,1.675668024,0.779543788,0.98603277,0.624588006,6.942850643,0,2.923925847,0.025127483,212.8444268,-0.741003795,-6.793622001,5.848975359,4.336076919,1.14353666,0.329880393,-2.13257965,-0.172124878,1.056657909,9.557062182,1.35363605,2.471469239,100.7938525,-1.290468328,1.362644126
1985Q3,-0.985985201,0.87893124,99.2637,-3.029887402,-1.981876811,1.325565705,0.862666536,1.285478865,2.298951822,2.175564297,10.44,0.087296022,0.896825199,11.0625,-1.5925,-0.5125,-0.7525,4.727615934,0.743333333,0.635035541,4.56,11.81,7.287992337,-3.760276424,-6.457131394,3.22315038,3.097668239,6.263598327,3.12505114,3.124854119,-1.233746744,11.2,0.223600053,3.976532942,3,6.044032101,1.202084522,2.16,817,2.087680668,0.356926111,-0.811598658,0.262743188,0.201479009,0.287253339,1.79,13.35,-0.911041861,1.508179342,-0.956257379,2,0.798816302,0.361664049,2.501042397,-0.651284011,0.389956993,1.494085509,-2.761036135,-5,-34.5,-15,20,35.5,34,-13.5,-4.314272483,-5.824142724,-5.672027636,-5.732975898,0.480443472,-1.012282223,10.73302725,6.813780517,0,9.176873917,0.468946946,212.8444268,-8.370545139,4.492701803,5.848975359,4.336076919,1.14353666,0.329880393,5.577518119,1.091133058,1.794029598,6.94469208,-0.207085177,1.138032325,100.7135702,-1.218612432,1.188452351
1985Q4,-0.662766151,0.610013234,99.09697,0.549185017,3.058757323,0.189799279,-0.409007717,1.447760963,2.247285585,1.555033009,11.29,0.241376727,0.839217409,11.1563,-1.6863,-0.3263,-0.3163,-3.823995327,0.38,1.258177173,4.39,12.21,2.142311957,-4.288005617,-5.659915452,-2.769095283,-2.839596714,9.257598539,2.919369506,2.918954567,9.216973842,11.2,0.142031068,3.864912353,1.97,-18.61589527,13.73986841,2.98,662,2.747375564,0.841711689,0.232558244,-0.086253779,-0.137133083,0.32217676,1.43,13.34,0.495406786,2.078455964,7.789903061,2.7,0.602180985,1.315021874,2.087231671,-1.159014709,1.30782929,0.905894497,-2.501172573,-1.5,-26.5,-11,20.5,35,23.5,-12,19.03540755,0.694806345,-0.791882984,0.20666579,0.843894293,-0.724416603,9.329754037,-0.146156121,267.1492605,17.47335793,-0.17060887,212.8444268,1.964929259,11.07121964,5.848975359,4.336076919,1.14353666,0.329880393,10.1863274,-3.254172206,2.576221739,18.75500095,0.547174943,0.807615178,100.6795083,-1.305736501,0.7358854
1986Q1,0.662766151,0.974004487,98.72659,2.345178143,2.726112036,2.435158435,-1.130057884,2.293195046,0,1.836121954,9.7,1.127643305,0.788046803,10.8438,-2.4338,-1.7038,-1.8338,-65.56289884,1.973333333,-0.197541031,3.85,14.22,3.038832242,-2.681627388,-13.03398542,-5.96182361,-6.362666563,17.92366715,3.739242636,3.739617028,4.308427478,11.2,0.040543281,3.598291421,3.626666667,39.57047687,19.11210137,3.63,20,-5.591346469,1.116208455,4.541075318,-0.153941495,-0.21035016,0.285510544,2.39,13.73,0.321099233,2.633633222,9.111540265,4.1,-0.704509976,1.916593017,0.123696586,-0.243387468,-3.468324981,-0.033405802,4.053491291,-6,-36.5,-19,20.5,37,33,-16,6.119944353,9.379933226,1.733742297,5.428493112,0.780502908,-2.879794532,-0.55732012,14.31203452,0,4.277513406,2.670748791,212.8444268,4.537163724,-4.268086967,5.848975359,4.336076919,1.14353666,0.329880393,17.71693173,1.169819447,1.635518092,4.178836511,1.426585196,1.224430277,100.278738,-2.486231561,0.379188269
1986Q2,1.497050305,0.289850486,98.54024,1.563689185,3.478204669,-0.62424561,-2.885826422,1.607528927,0,2.215064938,9.15,0.739378555,0.479432817,9.2186,-0.3886,0.3314,-0.2386,-15.17468325,0.453333333,3.28890272,3.92,14.2,3.217204472,-0.850582759,-1.003651897,1.249585043,2.400518133,2.035990854,3.429735795,3.429737163,-7.373719684,11.3,0.101286345,5.097227156,2.086666667,-1.958319643,-31.16632273,2.92,1619,2.566885663,1.234172689,4.13102216,0.161444778,0.017188037,0.391250721,3.43,13.21,0.390858627,3.42857479,9.234684314,2.6,0.099654058,2.086513855,1.017384001,2.852532528,5.482311891,0.599602116,-1.799639515,-1,-26,-11,11.5,20.5,34,-13.5,-15.13675427,-5.30872552,0.467693513,-0.293840302,1.328796993,-4.696474294,2.430821678,12.52898937,0,5.684740249,0.804075138,212.8444268,-28.5034667,10.623782,5.848975359,4.336076919,1.14353666,0.329880393,-0.123732054,6.023669914,2.926245096,7.325893305,1.220855992,0.839584781,99.75410101,-2.460680431,0.881557184
1986Q3,0.324851396,0.743887561,98.86942,0.069880663,0.800340878,-0.863599643,5.639757114,0.764955051,2.197890672,1.83349592,10.95,0.454108769,0.985852624,10.375,-0.985,0.485,0.565,17.81110243,-0.283333333,2.300214747,4.01,13.78,-5.639456423,-11.12781341,-11.60215499,-5.757079237,-5.678934085,-4.803248198,2.292042451,2.291983341,-0.5203419,11.3,0.303244951,6.418280961,0.15,8.995804145,-6.710279635,2.73,-254,2.123066565,0.613724357,11.26818917,0.39687049,0.128816197,1.759369801,1.92,12.86,0.298756774,5.117967762,-1.369897479,3.6,0.618462577,1.173033983,0.719808447,1.031896172,3.184702617,1.516179305,0.206143068,-2,-29,-12,12.5,31.5,33.5,-10,0.968085085,3.783911448,0.620162115,0.587004982,0.805750213,1.420683772,8.234774135,7.650947005,0,7.179575898,-2.599797961,-17.61768187,36.59366361,-6.541078268,-3.119929729,-6.143170413,5.045201726,-5.711923375,-4.887660035,-4.073936874,3.875845166,10.35728938,0.737096308,0.81579639,99.79587117,-3.483323954,1.108947261
1986Q4,1.85299577,1.320705287,100.0072,2.736900577,1.395598752,0.022095378,4.871208673,0.490223526,0,1.909810192,10.62,1.770679697,0.853287749,10.6563,-1.3263,-0.0863,-0.1963,10.28256601,1.01,2.596000081,4.1,14.3,2.321081741,-1.73204948,4.546008197,-5.606877471,-5.290236471,9.127784911,2.061051822,2.060908626,-1.180242998,11.2,0.322450904,2.797472047,1.276666667,-40.00360239,29.06528414,2.86,413,2.450708465,1.415891772,3.826878543,0.209033297,-0.004291201,1.76322632,1.76,12.98,1.076508229,1.144486242,1.561107906,5,1.210308753,0.14566645,0.346819924,2.879417992,1.596872326,-0.5247634,3.798436451,-0.5,-23.5,-8,16.5,36.5,23,-11,-10.4504754,5.238067731,-0.93176125,0.486706306,0.200485187,0.277849655,-1.376909706,6.991098989,0,1.872135368,-3.029943921,111.7859745,-18.86217622,-10.53507216,10.53227067,8.75641245,18.73389785,8.026068169,8.644906746,0.698051877,2.109622017,11.7536783,1.536270613,1.522310033,100.328968,-3.220004509,1.016021305
1987Q1,0.212021706,1.500277345,101.8905,2.791995632,-1.064897507,-0.143707304,-2.894595274,0.977562611,2.150620522,1.289202277,9.05,0.92523695,1.080825993,9.094,-0.454,0.466,-0.164,12.67668131,1.086666667,2.119409514,3.42,17.2,7.973640113,1.246368931,0.256357174,1.507864232,1.342178633,18.84185933,2.745754845,2.746182352,5.561056681,10.9,0.301356331,4.902759863,2.666666667,31.91527903,-7.286669496,2.15,-203,-0.354045334,0.042932098,3.774032798,0.234641349,0.051482261,1.732674568,2.74,12.68,-0.834725234,1.195278036,17.23156967,4.2,1.791836631,0.29069788,1.203434765,-1.951233968,2.915603109,-0.692957741,-2.164413109,5,-15,2.5,14.5,33.5,13.5,-11.5,-4.484069649,9.828800162,11.48322251,10.84610281,0.979670392,2.054583673,5.538056567,7.506660945,-1.300209521,9.228872519,4.73435289,-6.594854916,-0.428520442,11.04594361,21.10772933,18.63456408,10.76642021,17.7872318,18.41684939,8.190008752,2.189142148,8.73537798,0.252460035,1.523094816,100.9614941,-2.298155949,0.794536494
1987Q2,1.021975918,0.554381594,103.6597,-1.007708482,4.871498137,1.547752307,4.662072445,1.793596241,2.10534092,2.437520787,8.94,1.456258278,0.271104763,8.8594,-0.3094,0.8006,0.1206,6.43987685,0.42,4.748322478,3.08,19.63,-0.599964302,1.682621076,0.1217426,3.888974386,4.231480722,15.26077747,3.500803913,3.500195584,5.294215357,10.5,0.739485732,4.866965771,1.95,10.18790645,14.45479534,1.98,1752,1.496111687,2.783089838,5.823563081,1.131920053,0.849905819,1.934683426,1.95,11.17,0.4042156,3.949192634,12.52294982,3.7,0.916975827,1.869213309,0.945152082,2.077551979,0.814076549,-0.398142462,0.927613041,8,6.5,13,6.5,21.5,2.5,-5.5,3.840293665,10.84393413,7.500228125,9.705098697,0.376335536,-2.505896125,8.367068508,7.249362203,0,6.810035667,-2.871975047,39.73163113,-2.163681186,-6.893349793,19.46815241,15.4526302,-32.27262814,14.07150779,14.39314147,-5.099061132,3.14872222,31.9250561,0.921815605,0.711850529,101.6786199,-2.870588161,0.772412817
